"County","FIPS","Year","Grade","School Type","Measure Type","Variable","Value"
"Connecticut","09","2008-2012","Pre-K","Private","Percent","Enrolled Students",50.2
"Connecticut","09","2008-2012","Pre-K","Private","Percent","Margins of Error",1
"Connecticut","09","2008-2012","K","Total","Number","Enrolled Students",42742
"Connecticut","09","2008-2012","K","Total","Number","Margins of Error",1268
"Connecticut","09","2008-2012","K","Total","Percent","Enrolled Students",6.3
"Connecticut","09","2008-2012","K","Total","Percent","Margins of Error",0
"Connecticut","09","2008-2012","K","Public","Number","Enrolled Students",37243
"Connecticut","09","2008-2012","K","Public","Number","Margins of Error",1258
"Connecticut","09","2008-2012","K","Public","Percent","Enrolled Students",87.1
"Connecticut","09","2008-2012","K","Public","Percent","Margins of Error",1
"Connecticut","09","2008-2012","K","Private","Number","Enrolled Students",5499
"Connecticut","09","2008-2012","K","Private","Number","Margins of Error",499
"Connecticut","09","2008-2012","K","Private","Percent","Enrolled Students",12.9
"Connecticut","09","2008-2012","K","Private","Percent","Margins of Error",1
"Connecticut","09","2008-2012","Grades 1 to 4","Total","Number","Enrolled Students",180751
"Connecticut","09","2008-2012","Grades 1 to 4","Total","Number","Margins of Error",2420
"Connecticut","09","2008-2012","Grades 1 to 4","Total","Percent","Enrolled Students",26.4
"Connecticut","09","2008-2012","Grades 1 to 4","Total","Percent","Margins of Error",0
"Connecticut","09","2008-2012","Grades 1 to 4","Public","Number","Enrolled Students",163305
"Connecticut","09","2008-2012","Grades 1 to 4","Public","Number","Margins of Error",2379
"Connecticut","09","2008-2012","Grades 1 to 4","Public","Percent","Enrolled Students",90.3
"Connecticut","09","2008-2012","Grades 1 to 4","Public","Percent","Margins of Error",0
"Connecticut","09","2008-2012","Grades 1 to 4","Private","Number","Enrolled Students",17446
"Connecticut","09","2008-2012","Grades 1 to 4","Private","Number","Margins of Error",820
"Connecticut","09","2008-2012","Grades 1 to 4","Private","Percent","Enrolled Students",9.7
"Connecticut","09","2008-2012","Grades 1 to 4","Private","Percent","Margins of Error",0
"Connecticut","09","2008-2012","Grades 5 to 8","Total","Number","Enrolled Students",190010
"Connecticut","09","2008-2012","Grades 5 to 8","Total","Number","Margins of Error",2511
"Connecticut","09","2008-2012","Grades 5 to 8","Total","Percent","Enrolled Students",27.8
"Connecticut","09","2008-2012","Grades 5 to 8","Total","Percent","Margins of Error",0
"Connecticut","09","2008-2012","Grades 5 to 8","Public","Number","Enrolled Students",171320
"Connecticut","09","2008-2012","Grades 5 to 8","Public","Number","Margins of Error",2415
"Connecticut","09","2008-2012","Grades 5 to 8","Public","Percent","Enrolled Students",90.2
"Connecticut","09","2008-2012","Grades 5 to 8","Public","Percent","Margins of Error",0
"Connecticut","09","2008-2012","Grades 5 to 8","Private","Number","Enrolled Students",18690
"Connecticut","09","2008-2012","Grades 5 to 8","Private","Number","Margins of Error",897
"Connecticut","09","2008-2012","Grades 5 to 8","Private","Percent","Enrolled Students",9.8
"Connecticut","09","2008-2012","Grades 5 to 8","Private","Percent","Margins of Error",0
"Connecticut","09","2008-2012","Grades 9 to 12","Total","Number","Enrolled Students",208060
"Connecticut","09","2008-2012","Grades 9 to 12","Total","Number","Margins of Error",1696
"Connecticut","09","2008-2012","Grades 9 to 12","Total","Percent","Enrolled Students",30.4
"Connecticut","09","2008-2012","Grades 9 to 12","Total","Percent","Margins of Error",0
"Connecticut","09","2008-2012","Grades 9 to 12","Public","Number","Enrolled Students",185777
"Connecticut","09","2008-2012","Grades 9 to 12","Public","Number","Margins of Error",1748
"Connecticut","09","2008-2012","Grades 9 to 12","Public","Percent","Enrolled Students",89.3
"Connecticut","09","2008-2012","Grades 9 to 12","Public","Percent","Margins of Error",0
"Connecticut","09","2008-2012","Grades 9 to 12","Private","Number","Enrolled Students",22283
